Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(90,120]",150201,ALTA RESPUESTA,0.757408636,
2022/2023,"(90,120]",150201,BAJA RESPUESTA,0.778646429,
2022/2023,"(90,120]",150202,ALTA RESPUESTA,0.770438445,
2022/2023,"(90,120]",150202,BAJA RESPUESTA,0.774972193,
2022/2023,"(90,120]",150203,ALTA RESPUESTA,0.780024826,
2022/2023,"(90,120]",150203,BAJA RESPUESTA,0.790116423,
2022/2023,"(90,120]",150204,ALTA RESPUESTA,0.777123088,
2022/2023,"(90,120]",150204,BAJA RESPUESTA,0.785315211,
2022/2023,"(90,120]",150401,ALTA RESPUESTA,0.743039351,
2022/2023,"(90,120]",150401,BAJA RESPUESTA,0.736113698,
2022/2023,"(90,120]",300101,ALTA RESPUESTA,0.639594019,
2022/2023,"(90,120]",300101,BAJA RESPUESTA,0.562467925,
2022/2023,"(90,120]",300102,ALTA RESPUESTA,0.744421408,
2022/2023,"(90,120]",300103,ALTA RESPUESTA,0.742663843,
2022/2023,"(90,120]",300103,BAJA RESPUESTA,0.724139303,
2022/2023,"(90,120]",300104,ALTA RESPUESTA,0.716076859,
2022/2023,"(90,120]",300104,BAJA RESPUESTA,0.698900828,
2022/2023,"(90,120]",300105,ALTA RESPUESTA,0.62039832,
2022/2023,"(90,120]",300105,BAJA RESPUESTA,0.662126936,
2022/2023,"(90,120]",300106,ALTA RESPUESTA,0.531773742,
2022/2023,"(90,120]",300106,BAJA RESPUESTA,0.617271457,
2022/2023,"(90,120]",300107,ALTA RESPUESTA,0.683335198,
2022/2023,"(90,120]",300107,BAJA RESPUESTA,0.628327588,
2022/2023,"(90,120]",300108,ALTA RESPUESTA,0.651404665,
2022/2023,"(90,120]",300108,BAJA RESPUESTA,0.683432346,
2022/2023,"(90,120]",300109,ALTA RESPUESTA,0.683956299,
2022/2023,"(90,120]",300110,ALTA RESPUESTA,0.721168112,
2022/2023,"(90,120]",300110,BAJA RESPUESTA,0.719501631,
2022/2023,"(90,120]",300111,ALTA RESPUESTA,0.653575983,
2022/2023,"(90,120]",300112,ALTA RESPUESTA,0.684102815,
2022/2023,"(90,120]",300112,BAJA RESPUESTA,0.570690199,
2022/2023,"(90,120]",300113,ALTA RESPUESTA,0.534870986,
2022/2023,"(90,120]",300113,BAJA RESPUESTA,0.620488955,
2022/2023,"(90,120]",300201,ALTA RESPUESTA,0.633031042,
